Media,Desviación Estándar,Energía,Entropía,Curtosis
0.0018844964073046525,0.0024322775514422955,6.619882718162859e-05,-0.004912430545989603,0.0335108960144714
0.0015355505301421152,0.0020203801624988495,4.525842810716682e-05,-0.00788903346725825,0.027380759004307878
0.0013524682333259275,0.0017972984191938256,3.5649453542975105e-05,-0.009679701642364813,0.02930992372937924
0.001493636086455033,0.001779929753278468,3.693851227461574e-05,-0.00923379848886174,0.022385492367722703
0.0016238161254863263,0.002015547471888861,4.6353349727137524e-05,-0.006300863618614115,0.0342033737905529
0.0013352623479681205,0.0021174145911533387,4.6063460536839346e-05,-0.005609326309889872,0.0812059751077892
0.001439774955612117,0.0021345989980595956,4.799356515252386e-05,-0.005189227856666163,0.07306397403776567
0.0014741158664192465,0.0020129725436536395,4.4169554118772375e-05,-0.007800202786317295,0.036058742499715725
0.0012982508648986036,0.0018422040587595596,3.638538980043744e-05,-0.011701748894299613,0.027218385526282973
0.0013104818989842439,0.0016901952600784618,3.1977841130777634e-05,-0.010017719659313902,0.028046736690608927
0.0016201304706055986,0.0019095446382429732,4.277230487168785e-05,-0.00661013824064661,0.03504890978330394
0.0013749906380965886,0.0020990752245532217,4.589456381229767e-05,-0.0061745119813551705,0.07007622816086306
0.0013543933693474055,0.0022045888601734042,4.9489842774976244e-05,-0.0053499253481848075,0.08207777918584348
0.0015016896332855577,0.002112190536681576,4.800991350010183e-05,-0.007429772724278455,0.03851588140899002
0.001332100323866745,0.0018827776521205724,3.806893893470256e-05,-0.01078852481150753,0.02595503715550688
0.0013803248711301336,0.0017176153310094811,3.361927229591166e-05,-0.009846159485169526,0.02662033382440807
0.0014384844998148333,0.0018087882460456645,3.708561114892129e-05,-0.008850858308495572,0.025636233824423173
0.0014929713228796842,0.002086926885296376,4.699264504281083e-05,-0.006600316419674022,0.04758958821317872
0.0011253420525893026,0.0020890842614833603,4.271890668077873e-05,-0.006597641598079784,0.09455460357807775
0.0013836388809540907,0.0020596857979867174,4.4613761953549864e-05,-0.006515923914815783,0.05576333437561269
